Test Case ID,Summary,Priority,Test Type,Endpoint,Method,Preconditions,Test Steps,Expected Result,Risk Level,Automation Status,Category
TC-USR-001,Criar usuário com dados válidos,Alta,Funcional,/usuarios,POST,API disponível,"1. Enviar POST /usuarios com nome, email, password, administrador válidos",Status 201 - Usuário criado com sucesso,Alto,Automatizado,Usuários
TC-USR-002,Criar usuário com dados inválidos,Alta,Negativo,/usuarios,POST,API disponível,"1. Enviar POST /usuarios com campos vazios ou tipos incorretos",Status 400 - Mensagem de erro específica,Crítico,Automatizado,Usuários
TC-USR-003,Criar usuário com email duplicado,Média,Negativo,/usuarios,POST,Usuário existente,"1. Enviar POST /usuarios com email já cadastrado",Status 400 - Email já utilizado,Alto,Automatizado,Usuários
TC-USR-004,Listar todos os usuários,Média,Funcional,/usuarios,GET,Usuários cadastrados,1. Enviar GET /usuarios,Status 200 - Array de usuários,Médio,Automatizado,Usuários
TC-USR-005,Buscar usuário por ID válido,Alta,Funcional,/usuarios/{_id},GET,Usuário existente,1. Enviar GET /usuarios/{_id} com ID válido,Status 200 - Dados completos do usuário,Médio,Automatizado,Usuários
TC-USR-006,Buscar usuário por ID inválido,Média,Negativo,/usuarios/{_id},GET,API disponível,1. Enviar GET /usuarios/{_id} com ID inexistente,Status 404 - Usuário não encontrado,Baixo,Automatizado,Usuários
TC-USR-007,Editar usuário existente,Média,Funcional,/usuarios/{_id},PUT,Usuário existente e autenticado,1. Enviar PUT /usuarios/{_id} com dados válidos,Status 200 - Usuário atualizado,Alto,Automatizado,Usuários
TC-USR-008,Editar usuário com dados inválidos,Média,Negativo,/usuarios/{_id},PUT,Usuário existente,1. Enviar PUT /usuarios/{_id} com dados inválidos,Status 400 - Mensagem de erro,Alto,Automatizado,Usuários
TC-USR-009,Excluir usuário existente,Alta,Funcional,/usuarios/{_id},DELETE,Usuário existente e autenticado,1. Enviar DELETE /usuarios/{_id} com permissão,Status 200 - Usuário excluído,Alto,Automatizado,Usuários
TC-USR-010,Excluir usuário sem permissão,Alta,Segurança,/usuarios/{_id},DELETE,Usuário sem permissão admin,1. Enviar DELETE /usuarios/{_id} sem autorização,Status 403 - Acesso negado,Alto,Automatizado,Usuários
TC-LOGIN-001,Login com credenciais válidas,Alta,Funcional,/login,POST,Usuário cadastrado,1. Enviar POST /login com email e senha válidos,Status 200 - Token de autenticação,Crítico,Automatizado,Autenticação
TC-LOGIN-002,Login com credenciais inválidas,Alta,Negativo,/login,POST,API disponível,1. Enviar POST /login com email ou senha incorretos,Status 401 - Credenciais inválidas,Alto,Automatizado,Autenticação
TC-PROD-001,Criar produto com autenticação válida,Alta,Funcional,/produtos,POST,Admin autenticado,"1. Enviar POST /produtos com token válido, nome, preço, descrição, quantidade",Status 201 - Produto criado,Crítico,Automatizado,Produtos
TC-PROD-002,Criar produto sem autenticação,Alta,Segurança,/produtos,POST,Usuário não autenticado,1. Enviar POST /produtos sem token de autenticação,Status 401 - Não autorizado,Crítico,Automatizado,Produtos
TC-PROD-003,Criar produto com dados inválidos,Alta,Negativo,/produtos,POST,Admin autenticado,"1. Enviar POST /produtos com campos vazios, preço negativo ou tipos incorretos",Status 400 - Mensagem de erro,Crítico,Automatizado,Produtos
TC-PROD-004,Listar todos os produtos,Média,Funcional,/produtos,GET,Produtos cadastrados,1. Enviar GET /produtos,Status 200 - Array de produtos,Médio,Automatizado,Produtos
TC-PROD-005,Listar produtos com filtros,Média,Funcional,/produtos,GET,Produtos cadastrados,1. Enviar GET /produtos com query parameters,Status 200 - Produtos filtrados,Médio,Automatizado,Produtos
TC-PROD-006,Buscar produto por ID válido,Alta,Funcional,/produtos/{_id},GET,Produto existente,1. Enviar GET /produtos/{_id} com ID válido,Status 200 - Dados completos do produto,Médio,Automatizado,Produtos
TC-PROD-007,Buscar produto por ID inválido,Média,Negativo,/produtos/{_id},GET,API disponível,1. Enviar GET /produtos/{_id} com ID inexistente,Status 404 - Produto não encontrado,Baixo,Automatizado,Produtos
TC-PROD-008,Atualizar produto existente,Média,Funcional,/produtos/{_id},PUT,Admin autenticado e produto existente,1. Enviar PUT /produtos/{_id} com dados válidos,Status 200 - Produto atualizado,Alto,Automatizado,Produtos
TC-PROD-009,Atualizar produto inexistente,Média,Negativo,/produtos/{_id},PUT,Admin autenticado,1. Enviar PUT /produtos/{_id} com ID inexistente,Status 404 - Produto não encontrado,Alto,Automatizado,Produtos
TC-PROD-010,Atualizar produto com dados parciais,Média,Funcional,/produtos/{_id},PUT,Admin autenticado e produto existente,1. Enviar PUT /produtos/{_id} com apenas alguns campos,Status 200 - Apenas campos enviados atualizados,Médio,Automatizado,Produtos
TC-PROD-011,Excluir produto existente,Alta,Funcional,/produtos/{_id},DELETE,Admin autenticado e produto existente,1. Enviar DELETE /produtos/{_id},Status 200 - Produto excluído,Alto,Automatizado,Produtos
TC-PROD-012,Excluir produto sem permissão,Alta,Segurança,/produtos/{_id},DELETE,Usuário sem permissão admin,1. Enviar DELETE /produtos/{_id} sem autorização,Status 403 - Acesso negado,Alto,Automatizado,Produtos
TC-PROD-013,Excluir produto inexistente,Média,Negativo,/produtos/{_id},DELETE,Admin autenticado,1. Enviar DELETE /produtos/{_id} com ID inexistente,Status 404 - Produto não encontrado,Médio,Automatizado,Produtos
TC-CART-001,Criar carrinho com produto válido,Alta,Funcional,/carrinhos,POST,Usuário autenticado e produto existente,1. Enviar POST /carrinhos com idProduto válido e quantidade,Status 201 - Carrinho criado,Crítico,Automatizado,Carrinhos
TC-CART-002,Criar múltiplos carrinhos para mesmo usuário,Alta,Negativo,/carrinhos,POST,Usuário com carrinho ativo,1. Enviar POST /carrinhos quando já existe carrinho ativo,Status 400 - Já existe carrinho ativo,Alto,Automatizado,Carrinhos
TC-CART-003,Adicionar produto inexistente ao carrinho,Média,Negativo,/carrinhos,POST,Usuário autenticado,1. Enviar POST /carrinhos com idProduto inexistente,Status 404 - Produto não encontrado,Alto,Automatizado,Carrinhos
TC-CART-004,Adicionar produto com quantidade zero,Média,Negativo,/carrinhos,POST,Usuário autenticado,1. Enviar POST /carrinhos com quantidade = 0,Status 400 - Quantidade inválida,Alto,Automatizado,Carrinhos
TC-CART-005,Adicionar produto com quantidade negativa,Média,Negativo,/carrinhos,POST,Usuário autenticado,1. Enviar POST /carrinhos com quantidade < 0,Status 400 - Quantidade inválida,Alto,Automatizado,Carrinhos
TC-CART-006,Adicionar produto com quantidade mínima válida,Média,Funcional,/carrinhos,POST,Usuário autenticado,1. Enviar POST /carrinhos com quantidade = 1,Status 201 - Carrinho criado,Médio,Automatizado,Carrinhos
TC-CART-007,Criar carrinho vazio,Média,Negativo,/carrinhos,POST,Usuário autenticado,1. Enviar POST /carrinhos com array de produtos vazio,Status 400 - Carrinho deve ter produtos,Médio,Automatizado,Carrinhos
TC-CART-008,Listar todos os carrinhos,Média,Funcional,/carrinhos,GET,Carrinhos cadastrados,1. Enviar GET /carrinhos,Status 200 - Array de carrinhos,Médio,Automatizado,Carrinhos
TC-CART-009,Buscar carrinho por ID válido,Média,Funcional,/carrinhos/{_id},GET,Carrinho existente,1. Enviar GET /carrinhos/{_id} com ID válido,Status 200 - Dados do carrinho,Médio,Automatizado,Carrinhos
TC-CART-010,Buscar carrinho de outro usuário,Alta,Segurança,/carrinhos/{_id},GET,Carrinho de outro usuário,1. Enviar GET /carrinhos/{_id} de outro usuário,Status 403 - Acesso negado ou dados protegidos,Alto,Automatizado,Carrinhos
TC-CART-011,Concluir compra com carrinho válido,Alta,Funcional,/carrinhos/concluir-compra,DELETE,Carrinho com produtos,1. Enviar DELETE /carrinhos/concluir-compra,Status 200 - Compra concluída e produtos removidos do estoque,Crítico,Automatizado,Carrinhos
TC-CART-012,Concluir compra com carrinho vazio,Média,Negativo,/carrinhos/concluir-compra,DELETE,Usuário sem carrinho ou carrinho vazio,1. Enviar DELETE /carrinhos/concluir-compra sem itens,Status 400 - Carrinho vazio,Médio,Automatizado,Carrinhos
TC-CART-013,Cancelar compra válida,Alta,Funcional,/carrinhos/cancelar-compra,DELETE,Carrinho com produtos,1. Enviar DELETE /carrinhos/cancelar-compra,Status 200 - Produtos retornam ao estoque,Alto,Automatizado,Carrinhos
TC-CART-014,Excluir carrinho próprio,Média,Funcional,/carrinhos/{_id},DELETE,Carrinho do usuário autenticado,1. Enviar DELETE /carrinhos/{_id} do próprio usuário,Status 200 - Carrinho removido,Médio,Automatizado,Carrinhos
TC-CART-015,Excluir carrinho de outro usuário,Alta,Segurança,/carrinhos/{_id},DELETE,Carrinho de outro usuário,1. Enviar DELETE /carrinhos/{_id} de outro usuário,Status 403 - Acesso negado,Alto,Automatizado,Carrinhos
TC-PERF-001,Tempo de resposta login,Média,Performance,/login,POST,API disponível,1. Medir tempo de resposta do POST /login,Tempo < 500ms,Médio,Automatizado,Performance
TC-PERF-002,Tempo de resposta listagem usuários,Média,Performance,/usuarios,GET,API disponível,1. Medir tempo de resposta do GET /usuarios,Tempo < 1000ms,Médio,Automatizado,Performance
TC-PERF-003,Tempo de resposta listagem produtos,Média,Performance,/produtos,GET,API disponível,1. Medir tempo de resposta do GET /produtos,Tempo < 1000ms,Médio,Automatizado,Performance
TC-PERF-004,Tempo de resposta criação carrinho,Média,Performance,/carrinhos,POST,Usuário autenticado,1. Medir tempo de resposta do POST /carrinhos,Tempo < 800ms,Alto,Automatizado,Performance
TC-REG-001,Fluxo completo de compra,Alta,Regressão,Multiple,Multiple,API disponível,"1. Login, 2. Criar produto, 3. Criar carrinho, 4. Concluir compra",Todos os passos executam com sucesso,Alto,Automatizado,Regressão
TC-REG-002,Fluxo completo de gestão de usuários,Média,Regressão,/usuarios,Multiple,API disponível,"1. Criar usuário, 2. Buscar usuário, 3. Editar usuário, 4. Excluir usuário",Todos os passos executam com sucesso,Médio,Automatizado,Regressão
TC-REG-003,Fluxo completo de gestão de produtos,Alta,Regressão,/produtos,Multiple,Admin autenticado,"1. Criar produto, 2. Listar produtos, 3. Editar produto, 4. Excluir produto",Todos os passos executam com sucesso,Alto,Automatizado,Regressão